Title;Categories
Counselling and Psychotherapy Research;"Clinical Psychology (Q2); Applied Psychology (Q3); Psychiatry and Mental Health (Q3)"
European Journal of Economics and Economic Policies: Intervention;"Economics and Econometrics (Q2); Finance (Q2)"
GM Crops and Food;"Agronomy and Crop Science (Q2); Food Science (Q2); Biotechnology (Q3)"
Interdisciplinary Journal of Problem-based Learning;Education (Q2)
International Journal of Digital Accounting Research;"Accounting (Q2); Finance (Q2); Information Systems and Management (Q2)"
International Journal of Mechanical and Materials Engineering;"Industrial and Manufacturing Engineering (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2)"
JBI evidence synthesis;Nursing (miscellaneous) (Q2)
Journal of Water and Health;"Waste Management and Disposal (Q2); Water Science and Technology (Q2); Infectious Diseases (Q3); Microbiology (medical) (Q3); Public Health, Environmental and Occupational Health (Q3)"
KONA Powder and Particle Journal;"Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Materials Science (miscellaneous) (Q2)"
Policy Futures in Education;Education (Q2)
Publicationes Mathematicae;Mathematics (miscellaneous) (Q2)
Strain;"Mechanical Engineering (Q2); Mechanics of Materials (Q2)"
Acta Chiropterologica;Animal Science and Zoology (Q2)
Acta Histriae;History (Q1)
Cambridge Classical Journal;"Classics (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1)"
Designed Monomers and Polymers;"Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Materials Chemistry (Q2); Polymers and Plastics (Q2)"
Geospatial health;"Geography, Planning and Development (Q2); Health Policy (Q2); Health (social science) (Q2); Medicine (miscellaneous) (Q3)"
Hemodialysis International;"Hematology (Q3); Nephrology (Q3)"
International Journal of Nephrology;Nephrology (Q3)
Journal of Adhesion;"Chemistry (miscellaneous) (Q2); Materials Chemistry (Q2); Mechanics of Materials (Q2); Surfaces, Coatings and Films (Q2); Surfaces and Interfaces (Q3)"
Journal of Functional Morphology and Kinesiology;"Anatomy (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Histology (Q3); Orthopedics and Sports Medicine (Q3); Rheumatology (Q3)"
Journal of Geodetic Science;"Computers in Earth Sciences (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Geophysics (Q2); Applied Mathematics (Q3); Astronomy and Astrophysics (Q3)"
Policy Studies;Political Science and International Relations (Q1)
Processes;"Chemical Engineering (miscellaneous) (Q2); Bioengineering (Q3); Process Chemistry and Technology (Q3)"
Radiologia Brasileira;Radiology, Nuclear Medicine and Imaging (Q3)
South African Journal of Geology;Geology (Q2)
Visceral Medicine;"Surgery (Q2); Gastroenterology (Q3)"
Critical Reviews in Therapeutic Drug Carrier Systems;"Pharmaceutical Science (Q2); Medicine (miscellaneous) (Q3); Pharmacology (Q3)"
Current Issues in Auditing;Accounting (Q2)
Entrepreneurial Business and Economics Review;"Political Science and International Relations (Q1); Business and International Management (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Strategy and Management (Q2)"
Ethics in Science and Environmental Politics;"Philosophy (Q1); Ecology (Q2); Education (Q2); Management, Monitoring, Policy and Law (Q2); Sociology and Political Science (Q2)"
International Journal of Polymeric Materials and Polymeric Biomaterials;"Analytical Chemistry (Q2); Chemical Engineering (miscellaneous) (Q2); Polymers and Plastics (Q2)"
International Review of Research in Developmental Disabilities;"Developmental and Educational Psychology (Q3); Psychiatry and Mental Health (Q3)"
Journal of Cluster Science;"Chemistry (miscellaneous) (Q2); Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2); Biochemistry (Q3)"
Journal of Information Processing Systems;"Information Systems (Q3); Software (Q3)"
Journal of Innovative Optical Health Sciences;"Atomic and Molecular Physics, and Optics (Q2); Electronic, Optical and Magnetic Materials (Q2); Biomedical Engineering (Q3); Medicine (miscellaneous) (Q3)"
Journal of Physical Education, Recreation and Dance;"Education (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Orthopedics and Sports Medicine (Q3)"
Review of Financial Economics;"Economics and Econometrics (Q2); Finance (Q2)"
South African Journal of Clinical Nutrition;"Medicine (miscellaneous) (Q3); Nutrition and Dietetics (Q3)"
Australasian Emergency Care;Emergency Nursing (Q2)
Australian Forestry;Forestry (Q2)
Biochemia Medica;"Biochemistry (medical) (Q3); Clinical Biochemistry (Q3)"
Community College Journal of Research and Practice;Education (Q2)
ESAIM - Probability and Statistics;Statistics and Probability (Q3)
International Journal of Trichology;Dermatology (Q2)
Journal of Bryology;"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
Journal of Comparative Effectiveness Research;Health Policy (Q3)
Journal of Food Processing and Preservation;"Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Food Science (Q2)"
Journal of International Advanced Otology;"Otorhinolaryngology (Q2); Medicine (miscellaneous) (Q3)"
Journal of Multicultural Counseling and Development;"Cultural Studies (Q1); Applied Psychology (Q3)"
Journal of Osteoporosis;"Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)"
Marine Ecology;"Aquatic Science (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
Nursing Education Perspectives;"Education (Q2); Nursing (miscellaneous) (Q2); Medicine (miscellaneous) (Q3)"
Qualitative Research in Organizations and Management;"Business, Management and Accounting (miscellaneous) (Q2); Organizational Behavior and Human Resource Management (Q3)"
Random Matrices: Theory and Application;"Algebra and Number Theory (Q3); Discrete Mathematics and Combinatorics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)"
Research in Comparative and International Education;Education (Q2)
Statistical Analysis and Data Mining;"Analysis (Q3); Computer Science Applications (Q3); Information Systems (Q3)"
Vasa - European Journal of Vascular Medicine;Cardiology and Cardiovascular Medicine (Q3)
Zeitschrift fur Physikalische Chemie;Physical and Theoretical Chemistry (Q2)
American Sociologist, The;"Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
Annals of Thoracic and Cardiovascular Surgery;"Surgery (Q2); Cardiology and Cardiovascular Medicine (Q3); Gastroenterology (Q3); Medicine (miscellaneous) (Q3); Pulmonary and Respiratory Medicine (Q3)"
Canadian Geographer / Geographie Canadien;"Earth-Surface Processes (Q2); Geography, Planning and Development (Q2)"
Education and Treatment of Children;"Education (Q2); Developmental and Educational Psychology (Q3)"
Education Policy Analysis Archives;Education (Q2)
Ethnopolitics;"Cultural Studies (Q1); History (Q1); Political Science and International Relations (Q1)"
Ground Water Monitoring and Remediation;"Civil and Structural Engineering (Q2); Water Science and Technology (Q2)"
Journal of Addictive Diseases;"Clinical Psychology (Q2); Medicine (miscellaneous) (Q3); Psychiatry and Mental Health (Q3)"
Journal of Ecology and Environment;"Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
Journal of Infection in Developing Countries;"Infectious Diseases (Q3); Medicine (miscellaneous) (Q3); Microbiology (Q3); Parasitology (Q3); Virology (Q4)"
Matematychni Studii;Mathematics (miscellaneous) (Q2)
Mining Technology: Transactions of the Institute of Mining and Metallurgy;"Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2)"
Mir Rossii;"Demography (Q2); Development (Q2); Economics and Econometrics (Q2); Sociology and Political Science (Q2)"
Pacific Affairs;"Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
Revista Internacional de Educacion para la Justicia Social;"Education (Q2); Sociology and Political Science (Q2)"
Social Influence;Social Psychology (Q2)
Swiss Journal of Palaeontology;Paleontology (Q2)
American Family Physician;"Family Practice (Q2); Medicine (miscellaneous) (Q3)"
Applicable Algebra in Engineering, Communications and Computing;"Algebra and Number Theory (Q3); Applied Mathematics (Q3)"
Australian Review of Applied Linguistics;Linguistics and Language (Q1)
British Journal of Learning Disabilities;"Pediatrics (Q2); Psychiatry and Mental Health (Q3)"
Canadian Journal of Emergency Medicine;Emergency Medicine (Q2)
Epilepsy Currents;Neurology (clinical) (Q3)
FME Transactions;"Mechanical Engineering (Q2); Mechanics of Materials (Q2)"
Health Systems;"Computer Science Applications (Q3); Health Informatics (Q3); Health Information Management (Q3); Health Policy (Q3)"
Indian journal of public health;Medicine (miscellaneous) (Q3)
Journal of Aerospace Information Systems;"Aerospace Engineering (Q2); Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3)"
Journal of Behavioral Health Services and Research;"Health (social science) (Q2); Health Policy (Q3); Public Health, Environmental and Occupational Health (Q3)"
Journal of Earth System Science;Earth and Planetary Sciences (miscellaneous) (Q2)
Journal of the American Animal Hospital Association;"Small Animals (Q2); Medicine (miscellaneous) (Q3)"
Medicine (United States);Medicine (miscellaneous) (Q3)
Organogenesis;"Transplantation (Q2); Biomedical Engineering (Q3); Embryology (Q3); Developmental Biology (Q4)"
Proceedings of the International Conference on Supercomputing;Computer Science (miscellaneous)
Religion, State and Society;"Religious Studies (Q1); Sociology and Political Science (Q2)"
Textile Reseach Journal;"Chemical Engineering (miscellaneous) (Q2); Polymers and Plastics (Q2)"
Zoology in the Middle East;Animal Science and Zoology (Q2)
Arabian Journal for Science and Engineering;Multidisciplinary (Q1)
Arkiv for Matematik;Mathematics (miscellaneous) (Q2)
Australian Veterinary Journal;"Veterinary (miscellaneous) (Q2); Medicine (miscellaneous) (Q3)"
Health Care Analysis;"Health (social science) (Q2); Issues, Ethics and Legal Aspects (Q2); Health Policy (Q3)"
International Journal of Agronomy;Agronomy and Crop Science (Q2)
International Journal of Leadership in Education;"Arts and Humanities (miscellaneous) (Q2); Education (Q2); Strategy and Management (Q2)"
International Journal of the Economics of Business;"Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2)"
Journal for the Theory of Social Behaviour;"Philosophy (Q1); Psychology (miscellaneous) (Q2); Social Psychology (Q3)"
Journal of Global Information Management;"Business and International Management (Q2); Information Systems and Management (Q2); Strategy and Management (Q2); Computer Science Applications (Q3); E-learning (Q3); Management Science and Operations Research (Q3)"
Journal of Oral Implantology;Oral Surgery (Q3)
Journal of Outdoor and Environmental Education;"Education (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2)"
Journal of the Korean Statistical Society;Statistics and Probability (Q3)
Journal of wound care;"Fundamentals and Skills (Q2); Nursing (miscellaneous) (Q2)"
Omega: Journal of Death and Dying;"Critical Care and Intensive Care Medicine (Q2); Health (social science) (Q2); Life-span and Life-course Studies (Q3)"
Ophthalmic Genetics;"Ophthalmology (Q2); Pediatrics, Perinatology and Child Health (Q2); Genetics (clinical) (Q3)"
Pediatric Gastroenterology, Hepatology and Nutrition;"Pediatrics, Perinatology and Child Health (Q2); Gastroenterology (Q3); Hepatology (Q3)"
Photomedicine and Laser Surgery;"Biomedical Engineering (Q3); Radiology, Nuclear Medicine and Imaging (Q3)"
Physiotherapy Research International;Physical Therapy, Sports Therapy and Rehabilitation (Q2)
Psychoanalytic Dialogues;Clinical Psychology (Q2)
Psychology Learning and Teaching;"Education (Q2); Psychology (miscellaneous) (Q2)"
Reproduction, Fertility and Development;"Animal Science and Zoology (Q2); Biotechnology (Q3); Endocrinology (Q3); Genetics (Q3); Reproductive Medicine (Q3); Developmental Biology (Q4); Molecular Biology (Q4)"
Social Inclusion;"Sociology and Political Science (Q2); Social Psychology (Q3)"
Advances in High Energy Physics;Nuclear and High Energy Physics (Q3)
Annals of Rehabilitation Medicine;Rehabilitation (Q2)
Anthropological Science;Anthropology (Q1)
Aquatic Insects;"Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2); Aquatic Science (Q3)"
Canadian Pharmacists Journal;"Pharmacy (Q1); Pharmaceutical Science (Q2)"
Communications in Applied Mathematics and Computational Science;"Applied Mathematics (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3)"
Corrosion Reviews;"Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Materials Science (miscellaneous) (Q2)"
European Journal of Applied Mathematics;Applied Mathematics (Q3)
Horticulturae;"Horticulture (Q1); Plant Science (Q2)"
Information Development;Library and Information Sciences (Q2)
Intereconomics;"Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2)"
International Journal of Energy Sector Management;"Energy (miscellaneous) (Q2); Strategy and Management (Q2)"
International Journal of Wine Business Research;Business, Management and Accounting (miscellaneous) (Q2)
Journal of Automation and Information Sciences;"Control and Systems Engineering (Q2); Information Systems (Q3); Software (Q3)"
Journal of Corporate Real Estate;"Business, Management and Accounting (miscellaneous) (Q2); Finance (Q2)"
Journal of Labelled Compounds and Radiopharmaceuticals;"Analytical Chemistry (Q2); Organic Chemistry (Q2); Spectroscopy (Q2); Biochemistry (Q3); Drug Discovery (Q3); Radiology, Nuclear Medicine and Imaging (Q3)"
Journal of Limnology;"Aquatic Science (Q2); Ecology (Q2); Water Science and Technology (Q2)"
