Title;Publisher
Ichthyological Exploration of Freshwaters;Verlag Dr. Friedrich Pfeil
Japanese Journal of Political Science;Cambridge University Press
Journal for European Environmental and Planning Law;Brill Academic Publishers
Journal of Clinical Ethics;Journal of Clinical Ethics
Journal of Education and e-Learning Research;Asian Online Journal Publishing Group
Journal of Gemmology;Gemmological Association and Gem Testing Laboratory of Great Britain
Journal of Nuclear Medicine Technology;Society of Nuclear Medicine and Molecular Imaging
Journal of Social Ontology;Walter de Gruyter GmbH
Journal of Social Science Education;Sowi-online
Koedoe;AOSIS (Pty) Ltd
Mathematical Methods of Statistics;Pleiades Publishing
Neurocirugia;Sociedad Espanola de Neurocirugia
Nonlinear Phenomena in Complex Systems;Education and Upbringing Publishing
Open Information Science;Walter de Gruyter GmbH
Petroleum Chemistry;Pleiades Publishing
Qudus International Journal of Islamic Studies;STAIN Kudus
Religion and Theology;Brill Academic Publishers
Russian Journal of Coordination Chemistry/Koordinatsionnaya Khimiya;Pleiades Publishing
SAE International Journal of Passenger Cars - Electronic and Electrical Systems;SAE International
SDHM Structural Durability and Health Monitoring;Tech Science Press
Social Work with Groups;Routledge
Transactions of the Japan Society for Aeronautical and Space Sciences;Japan Society for Aeronautical and Space Sciences
Wader Study;International Wader Study Group
Zhongguo Guanxing Jishu Xuebao/Journal of Chinese Inertial Technology;Zhongguo Chuanbo Zhonggong Jituan
Zhonghua wai ke za zhi [Chinese journal of surgery];Zhonghua Yixuehui Zazhishe
Acta Dermatovenerologica Alpina, Panonica et Adriatica;Slovenian Medical Society
Acta Geodynamica et Geomaterialia;Academy of Sciences of the Czech Republic
Advanced Composites Letters;Adcotec Ltd.
Archaeofauna;Asociacion Espanola de Arqueozoologia
Asia-Pacific Journal of Accounting and Economics;Taylor and Francis Ltd.
Biodiversity Science;Chinese Academy of Sciences
Chinese Neurosurgical Journal;BioMed Central Ltd.
Contemporary Clinical Dentistry;Wolters Kluwer Medknow Publications
Counseling and Values;Wiley-Blackwell
Czech Mycology;Czech Scientific Society for Mycology
Digital journal of ophthalmology : DJO;Massachusetts Eye and Ear Infirmary
Electrical Contacts, Proceedings of the Annual Holm Conference on Electrical Contacts;Institute of Electrical and Electronics Engineers Inc.
Emirates Journal of Food and Agriculture;United Arab Emirates University
Gestion y Politica Publica;Centro de Investigacion y Docencia Economicas A.C.
Global Trade and Customs Journal;Kluwer Law International
IMA Journal of Applied Mathematics;Oxford University Press
Indian Journal of Nephrology;Wolters Kluwer Medknow Publications
International Journal of Agile Systems and Management;Inderscience Publishers
International Journal of Entrepreneurship and Innovation Management;Inderscience Enterprises Ltd.
International Journal of Machining and Machinability of Materials;Inderscience Enterprises Ltd
International Journal of Religious Tourism and Pilgrimage;Technological University Dublin
International Journal on E-Learning: Corporate, Government, Healthcare, and Higher Education;Association for the Advancement of Computing in Education
Iraqi Journal of Science;University of Baghdad
Journal of Medical Physics;Wolters Kluwer Medknow Publications
Journal of Nanophotonics;SPIE
Journal of Pharmacy and Bioallied Sciences;Wolters Kluwer Medknow Publications
Journal of Plant Nutrition and Fertilizers;Chinese Academy of Agriculture Sciences,Editorial Department of Journal of Plant Nutrition and Fertilizer
Journal of Social Distress and the Homeless;Maney Publishing
Journal of trauma nursing : the official journal of the Society of Trauma Nurses;Lippincott Williams and Wilkins Ltd.
Monatshefte fur Chemie;Springer-Verlag Wien
Naukovyi Visnyk Natsionalnoho Hirnychoho Universytetu;National Mining University of Ukraine
Northwestern Journal of International Law and Business;Northwestern University School of Law
Ornamental Horticulture;Brazilian Society of Floriculture and Ornamental Plants
Plankton and Benthos Research;Plankton Society of Japan
Psychology of Language and Communication;University of Warsaw, Faculty of Psychology
Religion;Taylor and Francis Ltd.
Rheedea;Indian Association for Angiosperm Taxonomy
Scientia Sinica Informationis;Science China Press
Scottish Affairs;Edinburgh University Press
Ural Mathematical Journal;Krasovskii Institute of Mathematics and Mechanics of the Ural Branch of Russian Academy of Sciences
American Journal of Jurisprudence;University of Notre Dame, Law School
Anales del Jardin Botanico de Madrid;CSIC Consejo Superior de Investigaciones Cientificas
Bridge Construction;Wuhan Bridge Research Institute
Ceramica;Associacao Brasileira de Ceramica
Communications for Statistical Applications and Methods;Korean Statistical Society
Comparative Exercise Physiology;Wageningen Academic Publishers
Diachronica;John Benjamins Publishing Company
Empirica;Springer Netherlands
Experimental Oncology;Morion LLC
Geologia Croatica;Croatian Geological Survey
International Journal of Applied Mathematics;Academic Publications Ltd.
International Journal of Global Environmental Issues;Inderscience Enterprises Ltd.
International Journal of Modern Physics B;World Scientific Publishing Co. Pte Ltd
Journal of Immunotherapy and Precision Oncology;Innovative Healthcare Institute
Journal of Public Mental Health;Emerald Group Publishing Ltd.
Kuwait Journal of Science;Kuwait University
Latvian Journal of Physics and Technical Sciences;De Gruyter Open Ltd.
Netherlands Journal of Medicine;Van Zuiden Communications BV
Notulae Botanicae Horti Agrobotanici Cluj-Napoca;Academic Press Inc.
Perfiles Educativos;Universidad Nacional Autonoma de Mexico
Physicochemical Problems of Mineral Processing;Oficyna Wydawnicza Politechniki Wroclawsjiej
Research on Crops;Gaurav Society of Agricultural Research Information Centre
SMPTE Motion Imaging Journal;Society of Motion and Television Engineers
Soil Science;Lippincott Williams and Wilkins Ltd.
Studies in English Language and Education;Syiah Kuala University
Sultan Qaboos University Medical Journal;Sultan Qaboos University
TransNav;Faculty of Navigation, Gdynia Maritime University
Wilson Journal of Ornithology;Wilson Ornithological Society
Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice;Zhongguo Xitong Gongcheng Xuehui
Yi Qi Yi Biao Xue Bao/Chinese Journal of Scientific Instrument;Science Press
Current Science;Indian Academy of Sciences
Eesti Rakenduslingvistika Uhingu Aastaraamat;Estonian Association Applied Linguists
Egyptian Journal of Medical Human Genetics;Ain Shams University
Folia Geographica;University of Presov
Home Health Care Management and Practice;SAGE Publications Inc.
Infocommunications Journal;Scientific Association for Infocommunications
International Journal of Knowledge-Based and Intelligent Engineering Systems;IOS Press BV
Izvestiya Wysshikh Uchebnykh Zawedeniy, Yadernaya Energetika;Obninsk Institute for Nuclear Power Engineering, National Research Nuclear University MEPhI
Journal of Applied Security Research;Routledge
Journal of Information Policy;Penn State University Press
Journal of medical ultrasonics (2001);Springer Japan
Journal of Rangeland Science;Islamic Azad University
Journal of Siberian Federal University - Humanities and Social Sciences;Siberian Federal University
Journal of Sustainable Real Estate;American Real Estate Society
Journal of Vascular Surgery Cases and Innovative Techniques;Elsevier BV
Military Behavioral Health;Taylor and Francis Ltd.
Pacific Rim Property Research Journal;Taylor and Francis Ltd.
Pirineos;CSIC Consejo Superior de Investigaciones Cientificas
Practice;Taylor and Francis Ltd.
Public Sector Economics;Institute of Public Finance
Recent Patents on Nanotechnology;Bentham Science Publishers B.V.
Rehabilitation Oncology;American Physical Therapy Association
Revista de la Sociedad Geologica de Espana;Sociedad Geologica de Espana
Revista Espanola de Salud Publica;Ministerio de Sanidad y Consumo
Revista Mexicana de Ciencias Geologicas;Universidad Nacional Autonoma de Mexico
Revue Archeologique de Picardie;Societe des antiquaires de Picardie
Tehnicki Vjesnik;Strojarski Facultet, Sveuciliste Josipa Jurja Strossmayera u Osijeki
X-Ray Spectrometry;John Wiley and Sons Ltd
Acta Chromatographica;Akademiai Kiado
Acta Mycologica;Polish Botanical Society
Acta Ortopedica Brasileira;Sociedade Brasileira de Ortopedia e Traumatologia
Advances in Technology Innovation;Taiwan Association of Engineering and Technology Innovation
Anthropozoologica;Museum National d'Histoire Naturelle
Applied Mathematics E - Notes;Tsing Hua University
Australasian Journal of Paramedicine;Faculty of Health, Engineering and Science, Edith Cowan University
Caryologia;Taylor and Francis Ltd.
Design Issues;MIT Press Journals
EC Tax Review;Kluwer Law International
Educational Theory;Wiley-Blackwell
Engineering Journal;Chulalongkorn University
Entomological Review;Pleiades Publishing
Geological Field Trips and Maps;Societa Geologica Italiana
Indian Economic and Social History Review;SAGE Publications Ltd
International Journal of Business Data Communications and Networking;IGI Publishing
International Journal of Computer Applications in Technology;Inderscience Enterprises Ltd.
International Journal of Reliability and Safety;Inderscience Enterprises Ltd.
International Journal of Sociotechnology and Knowledge Development;IGI Global Publishing
Iranian Journal of Earth Sciences;Islamic Azad University
Journal of Agrometeorology;Association of Agrometeorologists
Journal of Enabling Technologies;Emerald Group Publishing Ltd.
Journal of Green Building;College Publishing
Journal of Histotechnology;Maney Publishing
Journal of Horticultural Research;Walter de Gruyter GmbH
Lecture Notes in Computational Science and Engineering;Springer Verlag
Modern Tunnelling Technology;xian dai sui dao ji shu bian ji bu
Natural Product Communications;SAGE Publications Inc.
Neotropical Biodiversity;Taylor and Francis Ltd.
Netherlands International Law Review;Springer International Publishing AG
North Carolina Medical Journal;North Carolina Medical Society
Nucleosides, Nucleotides and Nucleic Acids;Taylor and Francis Ltd.
Physics of Wave Phenomena;Pleiades Publishing
Promet - Traffic - Traffico;Faculty of Transport and Traffic Sciences, University of Zagreb
Quantum Studies: Mathematics and Foundations;Birkhaeuser
Regional Science Inquiry;Hellenic Association of Regional Scientists
Research in Post-Compulsory Education;Routledge
Review of Central and East European Law;Martinus Nijhoff Publishers
Revista de Teledeteccion;Asociacion Espanola de Teledeteccion
Revista Espanola de Medicina Legal;Ediciones Doyma, S.L.
Revista Mexicana de Investigacion Educativa;Consejo Mexicano de Investigacion
Studies in Social Justice;Centre for Studies in Social Justice, University of Windsor
Turkish Journal of Obstetrics and Gynecology;Galenos Yayinevi
Vestnik Tomskogo Gosudarstvennogo Universiteta, Filologiya;Tomsk State University
AAPG Memoir;American Association of Petroleum Geologists
AIJ Journal of Technology and Design;Architectural Institute of Japan
Annals of Economics and Statistics;Groupe des ecoles nationales d'economie et statistique
Baltic Forestry;Lietuvos Misku Institutas
